,id,address,coord,district
151,155973,"город Москва, Варшавское шоссе, дом 2",37.619683 55.699943,"Россия, Москва, Южный административный округ, Донской район"
152,23618,"город Москва, Варшавское шоссе, дом 7, корпус 1",37.622405 55.700877,"Россия, Москва, Южный административный округ, Донской район"
153,155852,"город Москва, Варшавское шоссе, дом 29",37.622792 55.693074,"Россия, Москва, Южный административный округ, Донской район"
154,152556,"город Москва, Варшавское шоссе, дом 72, корпус 2",37.618767 55.656839,"Россия, Москва, Южный административный округ, Нагорный район"
155,120658,"город Москва, Варшавское шоссе, дом 100",37.618812 55.646228,"Россия, Москва, Южный административный округ, Нагорный район"
156,26279,"город Москва, Варшавское шоссе, дом 143А",37.599148 55.583953,"Россия, Москва, Южный административный округ, район Чертаново Южное"
165,141687,"город Москва, проспект Вернадского, дом 9/10",37.532511 55.690755,"Россия, Москва, Юго-Западный административный округ, Гагаринский район"
166,148853,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
167,149149,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
168,128511,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
169,24875,"город Москва, проспект Вернадского, дом 11/19",37.528882 55.688741,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
170,143755,"город Москва, проспект Вернадского, дом 13",37.527669 55.687655,"Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
172,23763,"город Москва, проспект Вернадского, дом 37",37.511751 55.678397,"Россия, Москва, Западный административный округ, район Проспект Вернадского"
173,19716,"город Москва, проспект Вернадского, дом 86, строение 1",37.474534 55.66049,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
174,69990,"город Москва, проспект Вернадского, дом 93",37.495132 55.667127,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
175,20147,"город Москва, проспект Вернадского, дом 97, корпус 1",37.491377 55.667152,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
176,19989,"город Москва, проспект Вернадского, дом 97, корпус 1",37.491377 55.667152,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
177,19761,"город Москва, проспект Вернадского, дом 103, корпус 1",37.492662 55.663365,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
178,19700,"город Москва, проспект Вернадского, дом 125",37.482026 55.655478,"Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
295,22943,"город Москва, Кутузовский проспект, дом 71",37.452103 55.723719,"Россия, Москва, Западный административный округ, район Фили-Давыдково"
405,156324,"город Москва, Каширское шоссе, дом 5, корпус 1",37.629071 55.671168,"Россия, Москва, Южный административный округ, район Нагатино-Садовники"
406,28118,"город Москва, Каширское шоссе, дом 13, корпус 1",37.629879 55.666569,"Россия, Москва, Южный административный округ, район Нагатино-Садовники"
407,27289,"город Москва, Каширское шоссе, дом 46, корпус 1",37.664788 55.647894,"Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
408,21227,"город Москва, Каширское шоссе, дом 56, корпус 2",37.669998 55.644775,"Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
409,21156,"город Москва, Каширское шоссе, дом 60, корпус 2",37.671579 55.64415,"Россия, Москва, Южный административный округ, район Москворечье-Сабурово"
429,28143,"город Москва, Кировоградская улица, дом 11",37.607915 55.615904,"Россия, Москва, Южный административный округ, район Чертаново Центральное"
430,28145,"город Москва, Кировоградская улица, дом 11",37.607915 55.615904,"Россия, Москва, Южный административный округ, район Чертаново Центральное"
431,29596,"город Москва, Кировоградская улица, дом 25, корпус 1",37.597953 55.597607,"Россия, Москва, Южный административный округ, район Чертаново Южное"
525,69895,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712,"Россия, Москва, Западный административный округ, район Дорогомилово"
526,20418,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712,"Россия, Москва, Западный административный округ, район Дорогомилово"
527,27025,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",37.564904 55.750712,"Россия, Москва, Западный административный округ, район Дорогомилово"
528,26346,"город Москва, Кутузовский проспект, дом 4/2",37.562272 55.750727,"Россия, Москва, Западный административный округ, район Дорогомилово"
529,143564,"город Москва, Кутузовский проспект, дом 8",37.560538 55.749172,"Россия, Москва, Западный административный округ, район Дорогомилово"
530,69884,"город Москва, Кутузовский проспект, дом 17",37.556864 55.746922,"Россия, Москва, Западный административный округ, район Дорогомилово"
531,23984,"город Москва, Кутузовский проспект, дом 21",37.549866 55.744977,"Россия, Москва, Западный административный округ, район Дорогомилово"
532,21780,"город Москва, Кутузовский проспект, дом 30",37.535826 55.741475,"Россия, Москва, Западный административный округ, район Дорогомилово"
533,21038,"город Москва, Кутузовский проспект, дом 30",37.535826 55.741475,"Россия, Москва, Западный административный округ, район Дорогомилово"
534,26347,"город Москва, Кутузовский проспект, дом 41",37.531029 55.738688,"Россия, Москва, Западный административный округ, район Дорогомилово"
541,135634,"город Москва, Ленинградский проспект, дом 2",37.582709 55.778644,"Россия, Москва, Северный административный округ, район Беговой"
542,25749,"город Москва, Ленинградский проспект, дом 10",37.579933 55.779707,"Россия, Москва, Северный административный округ, район Беговой"
543,27898,"город Москва, Ленинградский проспект, дом 11",37.573923 55.780416,"Россия, Москва, Северный административный округ, район Беговой"
