,id,address,coord,district
19,153644,"город Москва, Филипповский переулок, дом 15/5",37.598573 55.75058,"Россия, Москва, Центральный административный округ, район Арбат, 180-й квартал"
61,21214,"город Москва, Бабаевская улица, дом 3",37.689069 55.790595,"Россия, Москва, Восточный административный округ, район Сокольники"
69,22139,"город Москва, 1-й Балтийский переулок, дом 3/25",37.518785 55.810471,"Россия, Москва, Северный административный округ, район Аэропорт"
81,25833,"город Москва, улица Демьяна Бедного, дом 4",37.48693 55.770401,"Россия, Москва, Северо-Западный административный округ, район Хорошёво-Мнёвники"
131,150881,"город Москва, Будайская улица, дом 3",37.665156 55.831903,"Россия, Москва, Северо-Восточный административный округ, район Ростокино"
150,24155,"город Москва, Варсонофьевский переулок, дом 6",37.62572 55.763194,"Россия, Москва, Центральный административный округ, Мещанский район"
179,24646,"город Москва, Верхняя улица, дом 3, корпус 2",37.574911 55.776856,"Россия, Москва, Северный административный округ, район Беговой"
181,20632,"город Москва, Глазовский переулок, дом 5",37.587084 55.743933,"Россия, Москва, Центральный административный округ, район Хамовники, 172-й квартал"
228,25090,"город Москва, Воротниковский переулок, дом 11, строение 1",37.601286 55.770416,"Россия, Москва, Центральный административный округ, Тверской район"
235,25487,"город Москва, 2-й Вышеславцев переулок, дом 17",37.605984 55.790499,"Россия, Москва, Северо-Восточный административный округ, район Марьина Роща"
241,19821,"город Москва, Гвардейская улица, дом 15, корпус 1",37.423204 55.724789,"Россия, Москва, Западный административный округ, Можайский район, 75-й квартал Кунцева"
251,27658,"город Москва, Глебовская улица, дом 10",37.715525 55.813202,"Россия, Москва, Восточный административный округ, район Богородское"
308,27591,"город Москва, улица Девятая Рота, дом 14",37.712596 55.791142,"Россия, Москва, Восточный административный округ, район Преображенское"
350,68203,"город Москва, улица Генерала Ермолова, дом 4",37.518057 55.73479,"Россия, Москва, Западный административный округ, район Дорогомилово"
352,25330,"город Москва, улица Жебрунова, дом 4",37.678424 55.784997,"Россия, Москва, Восточный административный округ, район Сокольники"
354,28847,"город Москва, улица Бориса Жигулёнкова, дом 15",37.732979 55.773586,"Россия, Москва, Восточный административный округ, район Соколиная Гора"
359,22376,"город Москва, улица Жуковского, дом 5",37.64542 55.763776,"Россия, Москва, Центральный административный округ, Басманный район"
437,20733,"город Москва, 2-й Колобовский переулок, дом 12",37.616467 55.769276,"Россия, Москва, Центральный административный округ, Тверской район"
463,152097,"город Москва, Кооперативная улица, дом 2, корпус 13",37.566117 55.72487,"Россия, Москва, Центральный административный округ, район Хамовники, 475-й квартал"
520,79517,"город Москва, 1-й Обыденский переулок, дом 9/12",37.602256 55.743005,"Россия, Москва, Центральный административный округ, район Хамовники, 143-й квартал"
522,79562,"город Москва, Кунцевская улица, дом 10",37.412981 55.731288,"Россия, Москва, Западный административный округ, район Кунцево"
538,28857,"город Москва, улица Лапина, дом 3",37.712704 55.756391,"Россия, Москва, Юго-Восточный административный округ, район Лефортово, 4-й микрорайон"
540,20804,"город Москва, Малый Лёвшинский переулок, дом 14/9, строение 1",37.589536 55.742514,"Россия, Москва, Центральный административный округ, район Хамовники, 157-й квартал"
627,24319,"город Москва, Лужнецкий проезд, дом 1",37.560395 55.725392,"Россия, Москва, Центральный административный округ, район Хамовники, 527-й квартал"
642,153381,"город Москва, Малый Знаменский переулок, дом 7/10, строение 2",37.604978 55.748285,"Россия, Москва, Центральный административный округ, район Хамовники, 34-й квартал"
711,21002,"город Москва, Мирской переулок, дом 5",37.565919 55.796982,"Россия, Москва, Северный административный округ, Савёловский район"
713,26252,"город Москва, 2-й Верхний Михайловский проезд, дом 2",37.605113 55.709551,"Россия, Москва, Южный административный округ, Донской район"
737,24654,"город Москва, Большой Афанасьевский переулок, дом 3, строение 3",37.59692 55.745149,"Россия, Москва, Центральный административный округ, район Хамовники, 164-й квартал"
742,24601,"город Москва, Нагорный бульвар, дом 5, корпус 1",37.59383 55.673844,"Россия, Москва, Юго-Западный административный округ, район Котловка"
756,137544,"город Москва, Звонарский переулок, дом 5",37.621947 55.764663,"Россия, Москва, Центральный административный округ, Мещанский район"
757,69302,"город Москва, Нижний Кисельный переулок, дом 3, строение 1",37.621408 55.765397,"Россия, Москва, Центральный административный округ, Мещанский район"
779,124526,"город Москва, 1-й Новокузнецкий переулок, дом 5-7",37.632305 55.734679,"Россия, Москва, Центральный административный округ, район Замоскворечье"
783,27483,"город Москва, Новосибирская улица, дом 8",37.821167 55.815752,"Россия, Москва, Восточный административный округ, район Гольяново"
895,20048,"город Москва, улица Пивченкова, дом 7",37.475576 55.73552,"Россия, Москва, Западный административный округ, район Фили-Давыдково"
899,23980,"город Москва, Платовская улица, дом 4",37.555193 55.744799,"Россия, Москва, Западный административный округ, район Дорогомилово"
908,25694,"город Москва, 3-й проезд Подбельского, дом 22, корпус 3",37.723187 55.81913,"Россия, Москва, Восточный административный округ, район Богородское"
910,156679,"город Москва, Подсосенский переулок, дом 8, строение 2",37.649966 55.758301,"Россия, Москва, Центральный административный округ, Басманный район"
990,20381,"город Москва, улица Рогожский Посёлок, дом 3",37.70072 55.737897,"Россия, Москва, Юго-Восточный административный округ, Нижегородский район, 77-й квартал Хохловки"
1062,141385,"город Москва, 1-й Сетуньский проезд, дом 10",37.539078 55.73223,"Россия, Москва, Западный административный округ, район Раменки, микрорайон Сетунь"
1113,22203,"город Москва, 2-й Стрелецкий проезд, дом 7",37.605777 55.797326,"Россия, Москва, Северо-Восточный административный округ, район Марьина Роща"
1147,29423,"город Москва, Таганрогская улица, дом 7",37.755239 55.680488,"Россия, Москва, Юго-Восточный административный округ, район Люблино"
1163,21439,"город Москва, Тенистый проезд, дом 8",37.640246 55.861105,"Россия, Москва, Северо-Восточный административный округ, район Свиблово"
1219,146370,"город Москва, Малый Николопесковский переулок, дом 9/1, строение 2",37.59118 55.751001,"Россия, Москва, Центральный административный округ, район Арбат"
1273,21569,"город Москва, 2-й Хуторской переулок, дом 4/13",37.577157 55.806125,"Россия, Москва, Северный административный округ, Савёловский район"
1404,87543,"город Москва, Яузский бульвар, дом 14/8",37.643615 55.75095,"Россия, Москва, Центральный административный округ, Таганский район"
1426,82532,"город Москва, Будайский проезд, дом 8",37.668767 55.836064,"Россия, Москва, Северо-Восточный административный округ, район Ростокино"
1432,20865,"город Москва, Международная улица, дом 15",37.684811 55.745635,"Россия, Москва, Центральный административный округ, Таганский район"
1456,134075,"город Москва, Новолучанская улица, дом 22, строение 1",37.35954 55.790403,"Россия, Москва, Западный административный округ, район Кунцево"
1466,25989,"город Москва, Ащеулов переулок, дом 9",37.634613 55.767701,"Россия, Москва, Центральный административный округ, Красносельский район"
1491,25349,"Поречная улица, дом 5/14, строение 1",37.752957 55.644887,"Россия, Москва, Юго-Восточный административный округ, район Марьино, микрорайон Марьинский Парк"
1537,20415,"город Москва, улица Академика Семёнова, дом 3",37.511544 55.543516,"Россия, Москва, Юго-Западный административный округ, район Южное Бутово, микрорайон В"
1574,157025,"город Москва, Кривоарбатский переулок, дом 16/22",37.588431 55.747718,"Россия, Москва, Центральный административный округ, район Арбат, 176-й квартал"
1592,26993,"город Москва, 1-я линия Хорошёвского Серебряного Бора, домовладение 10, строение 1",37.443955 55.784379,"Россия, Москва, Северо-Западный административный округ, район Хорошёво-Мнёвники"
1633,25165,"город Москва, 1-й Зачатьевский переулок, дом 4",37.604169 55.739716,"Россия, Москва, Центральный административный округ, район Хамовники, 139-й квартал"
1646,68324,"город Москва, Старомонетный переулок, дом 18",37.618507 55.739727,"Россия, Москва, Центральный административный округ, район Якиманка"
1654,22043,"город Москва, 2-й Щемиловский переулок, дом 4",37.608365 55.776826,"Россия, Москва, Центральный административный округ, Тверской район"
1667,75223,"город Москва, 2-й Полевой переулок, дом 2",37.68111 55.792179,"Россия, Москва, Восточный административный округ, район Сокольники"
1687,111078,"город Москва, улица Васильцовский Стан, дом 5, корпус 1",37.750712 55.713826,"Россия, Москва, Юго-Восточный административный округ, Рязанский район"
1756,22808,"город Москва, Иваньковское шоссе, дом 5",37.465892 55.819949,"Россия, Москва, Северо-Западный административный округ, район Покровское-Стрешнево"
1781,24748,"город Москва, Петровско-Разумовская аллея, дом 10, корпус 3",37.560574 55.793693,"Россия, Москва, Северный административный округ, район Аэропорт"
1847,24743,"город Москва, 2-й Неопалимовский переулок, дом 3",37.582484 55.739336,"Россия, Москва, Центральный административный округ, район Хамовники, 550-й квартал"
1892,124295,"город Москва, поселение Филимонковское, деревня Верхнее Валуево, дом 21А",37.351213 55.577276,"Россия, Москва, поселение Филимонковское, квартал № 90"
1909,27568,"город Москва, Конаковский проезд, дом 5",37.481145 55.845895,"Россия, Москва, Северный административный округ, Головинский район"
1915,27436,"город Москва, Янтарный проезд, дом 2",37.691647 55.872794,"Россия, Москва, Северо-Восточный административный округ, Лосиноостровский район"
1918,27896,"город Москва, Авиационный переулок, дом 5",37.53879 55.800215,"Россия, Москва, Северный административный округ, район Аэропорт"
1934,21437,"город Москва, 3-я Новоостанкинская улица, дом 6",37.626654 55.817537,"Россия, Москва, Северо-Восточный административный округ, Останкинский район"
1955,25970,"город Москва, Докучаев переулок, дом 6, строение 2",37.64401 55.773434,"Россия, Москва, Центральный административный округ, Красносельский район"
1964,28254,"город Москва, Фармацевтический проезд, дом 1",37.513997 55.832955,"Россия, Москва, Северный административный округ, район Коптево"
1969,153599,"город Москва, Большой Предтеченский переулок, дом 15/8, строение 1",37.56741 55.759446,"Россия, Москва, Центральный административный округ, Пресненский район"
1976,29144,"город Москва, Столовый переулок, дом 10/2, строение 1",37.594755 55.756756,"Россия, Москва, Центральный административный округ, Пресненский район"
2022,27183,"город Москва, Соймоновский проезд, дом 5",37.604358 55.743233,"Россия, Москва, Центральный административный округ, район Хамовники, 144-й квартал"
2029,22627,"город Москва, Малый Власьевский переулок, дом 12, строение 2",37.593875 55.74675,"Россия, Москва, Центральный административный округ, район Хамовники, 165-й квартал"
2041,22670,"город Москва, Богоявленский переулок, дом 6, строение 2",37.623492 55.755596,"Россия, Москва, Центральный административный округ, Тверской район"
2069,137801,"город Москва, Малый Татарский переулок, дом 8, строение 1",37.632251 55.737968,"Россия, Москва, Центральный административный округ, район Замоскворечье"
2070,28552,"город Москва, 2-й Новокузнецкий переулок, дом 13/15, строение 1",37.631775 55.734004,"Россия, Москва, Центральный административный округ, район Замоскворечье"
2073,140795,"город Москва, 1-й Люсиновский переулок, дом 3Б",37.621687 55.727506,"Россия, Москва, Центральный административный округ, район Замоскворечье"
2103,22220,"город Москва, Лениногорская улица, дом 32, строение 1",37.865265 55.698777,"Россия, Москва, Восточный административный округ, район Косино-Ухтомский, посёлок Ухтомский"
2104,147961,"город Москва, Прокатная улица, дом 7",37.836645 55.760114,"Россия, Москва, Восточный административный округ, район Ивановское"
2186,21525,"город Москва, улица Гончарова, дом 15Б",37.586823 55.817668,"Россия, Москва, Северо-Восточный административный округ, Бутырский район"
2197,28801,"город Москва, Вербная улица, дом 4, строение 1",37.776745 55.824319,"Россия, Москва, Восточный административный округ, район Метрогородок"
2202,29239,"город Москва, Большая Ширяевская улица, дом 11",37.687722 55.809332,"Россия, Москва, Восточный административный округ, район Сокольники"
2208,21399,"город Москва, улица Гамалеи, дом 17, корпус 1",37.457124 55.800195,"Россия, Москва, Северо-Западный административный округ, район Щукино"
2243,29142,"город Москва, Хлыновский тупик, дом 3, строение 1",37.602957 55.758296,"Россия, Москва, Центральный административный округ, Пресненский район"
2260,152523,"город Москва, Хлебный переулок, дом 2/3, строение 3",37.597648 55.754664,"Россия, Москва, Центральный административный округ, Пресненский район, 207-й квартал"
2365,27860,"город Москва, Гольяновская улица, дом 7А, строение 1",37.712012 55.774862,"Россия, Москва, Центральный административный округ, Басманный район, 1139-й квартал"
2369,27343,"город Москва, Лефортовский переулок, дом 8, строение 1",37.677373 55.769732,"Россия, Москва, Центральный административный округ, Басманный район"
2407,150892,"город Москва, Средний Кондратьевский переулок, дом 8А",37.577939 55.772725,"Россия, Москва, Центральный административный округ, Пресненский район"
2409,150890,"город Москва, улица Подвойского, дом 2",37.536463 55.758939,"Россия, Москва, Центральный административный округ, Пресненский район"
2430,20119,"город Москва, Изваринская улица, дом 4, корпус 1",37.251338 55.612863,"Россия, Москва, Западный административный округ, район Внуково, микрорайон Северо-Западный"
2431,19822,"город Москва, Дивизионная улица, дом 4",37.261831 55.611694,"Россия, Москва, Западный административный округ, район Внуково"
2451,29188,"город Москва, Пулковская улица, дом 6",37.487793 55.844935,"Россия, Москва, Северный административный округ, Головинский район"
2504,29350,"город Москва, 3-й Дорожный проезд, дом 6А",37.614806 55.599967,"Россия, Москва, Южный административный округ, район Чертаново Южное"
2518,26715,"город Москва, Кожевнический проезд, дом 4/5, строение 5",37.644773 55.730502,"Россия, Москва, Центральный административный округ, район Замоскворечье"
2528,24635,"город Москва, улица Рокотова, дом 2А",37.554906 55.612004,"Россия, Москва, Юго-Западный административный округ, район Ясенево"
2568,26686,"город Москва, Ясногорская улица, дом 2",37.536392 55.610194,"Россия, Москва, Юго-Западный административный округ, район Ясенево"
2609,21495,"город Москва, улица Ремизова, дом 12",37.601573 55.675306,"Россия, Москва, Юго-Западный административный округ, район Котловка"
2615,29377,"город Москва, Большая Юшуньская улица, дом 14",37.590452 55.64795,"Россия, Москва, Юго-Западный административный округ, район Зюзино"
2638,27566,"город Москва, Солнечногорский проезд, дом 7А",37.52466 55.859165,"Россия, Москва, Северный административный округ, Головинский район"
2667,21273,"город Москва, Стандартная улица, дом 4А",37.572351 55.882868,"Россия, Москва, Северо-Восточный административный округ, Алтуфьевский район"
2679,21390,"город Москва, 2-я Сокольническая улица, дом 3",37.683634 55.787928,"Россия, Москва, Восточный административный округ, район Сокольники"
2683,29541,"город Москва, 2-я Гражданская улица, дом 8",37.701062 55.813647,"Россия, Москва, Восточный административный округ, район Богородское"
2685,29543,"город Москва, Андреево-Забелинская улица, дом 28",37.71071 55.81561,"Россия, Москва, Восточный административный округ, район Богородское"
2690,73010,"город Москва, Миллионная улица, дом 5",37.697963 55.816252,"Россия, Москва, Восточный административный округ, район Богородское"
2699,21577,"город Москва, Алымов переулок, дом 15",37.712461 55.807193,"Россия, Москва, Восточный административный округ, район Богородское"
2700,21575,"город Москва, 5-й проезд Подбельского, дом 2",37.728685 55.817314,"Россия, Москва, Восточный административный округ, район Богородское"
2712,28576,"город Москва, Линейный проезд, дом 11",37.573474 55.842292,"Россия, Москва, Северный административный округ, Тимирязевский район"
2713,29201,"город Москва, Икшинская улица, дом 12",37.537425 55.886276,"Россия, Москва, Северный административный округ, Дмитровский район, 18-й микрорайон"
2714,28681,"город Москва, улица Немчинова, дом 8",37.567491 55.823955,"Россия, Москва, Северный административный округ, Тимирязевский район"
2726,29196,"город Москва, Вагоноремонтная улица, дом 15А",37.532762 55.896413,"Россия, Москва, Северный административный округ, Дмитровский район, 15-й микрорайон"
2727,29490,"город Москва, Бескудниковский проезд, дом 4А",37.55452 55.874905,"Россия, Москва, Северный административный округ, Бескудниковский район, 4-й микрорайон"
2728,29493,"город Москва, Бескудниковский переулок, дом 4А",37.556882 55.862868,"Россия, Москва, Северный административный округ, Бескудниковский район, 5-й микрорайон"
2736,21387,"город Москва, Астрадамский проезд, дом 5",37.560431 55.812651,"Россия, Москва, Северный административный округ, Тимирязевский район"
2737,29198,"город Москва, Карельский бульвар, дом 20",37.538018 55.895454,"Россия, Москва, Северный административный округ, Дмитровский район, 16-й микрорайон"
2741,22454,"город Москва, Живарев переулок, дом 8, строение 3",37.643552 55.776634,"Россия, Москва, Центральный административный округ, Красносельский район"
